"StreetId","departure_days_cat","avg_duration","std_duration","avg_lon","avg_lat"
"16","1",109.83389261745,140.911275233799,144.979496386326,-37.8099885847863
"16","2",51.0376633358955,106.731096883338,144.978678316613,-37.8099065708114
"16","3",72.5360294117647,130.550372389724,144.979167088865,-37.8099473443212
"16","4",101.997058823529,173.633464435039,144.979457410873,-37.8099766052367
"16","5",51.4072289156626,105.268337129952,144.978952474719,-37.8099256259542
"16","6",53.5610610610611,110.291202047802,144.978609943924,-37.8098977787437
"16","7",53.6121152906693,120.514176245857,144.978644501834,-37.8099024499047
"823","1",187.5,172.282989791298,144.982063453614,-37.8171104065514
"823","2",150,222.038535194031,144.982063453614,-37.8171104065514
"823","3",115.2,143.26781448276,144.982063453614,-37.8171104065514
"823","4",201.428571428571,235.335673285796,144.982063453614,-37.8171104065514
"823","5",188,223.565586413856,144.982063453614,-37.8171104065514
"823","6",110.769230769231,154.508849634526,144.982063453614,-37.8171104065514
"823","7",110.769230769231,161.384338197313,144.982063453614,-37.8171104065514
"1414","1",134.89880952381,163.748260122619,144.981325823399,-37.8166854839013
"1414","2",144.037974683544,183.853856600711,144.981279853594,-37.8166914754781
"1414","3",122.610644257703,169.974427021943,144.981354459627,-37.8166992774785
"1414","4",168.169421487603,200.676615372445,144.981290989098,-37.8166835914045
"1414","5",122.194202898551,164.214391103112,144.981319917547,-37.8167020995918
"1414","6",117.237333333333,155.482549507737,144.981259721092,-37.816692548975
"1414","7",96.979683972912,162.183969176422,144.981365023205,-37.8166905652563
"894","1",40.5308793456033,71.2533038311626,144.965369850139,-37.8113746586108
"894","2",31.9540601747007,64.0761899785171,144.96504085994,-37.8114667573483
"894","3",37.5942125027612,79.5161158123999,144.965267462726,-37.8113960356431
"894","4",39.7709613966068,76.5977630223126,144.965489796488,-37.8113436252238
"894","5",31.552733534223,65.2085905111567,144.965170065683,-37.8114327967769
"894","6",30.8337182448037,64.9805218289188,144.964850384641,-37.8115258067708
"894","7",38.740693046125,84.2343983436279,144.966419558269,-37.8110707073227
"641","1",25.8714036617262,60.2557677807012,144.949436882123,-37.8040762160345
"641","2",20.6912343470483,48.2785794806021,144.949440112509,-37.8040975125221
"641","3",23.5757159221077,53.7199177770106,144.949439972422,-37.8041236054896
"641","4",23.9464824120603,62.6070003415771,144.949432498704,-37.8041164874095
"641","5",18.8371212121212,47.5777483879608,144.949433005721,-37.804113423685
"641","6",20.3328976848394,51.8103765232996,144.94943889963,-37.8040986341727
"641","7",25.557484220018,66.8290425924782,144.949439780856,-37.8040844123672
"869","1",81.6363636363636,115.782466711595,144.977966902704,-37.8123775493662
"869","2",83.0260223048327,135.455130482786,144.978018712956,-37.8119185064295
"869","3",97.2006802721088,142.329712032296,144.978019866579,-37.8119939402809
"869","4",77.8757396449704,127.003904609457,144.977984813705,-37.8122216881182
"869","5",79.1084099868594,129.164083100337,144.978016811751,-37.8119508638624
"869","6",85.9950177935943,139.644677718293,144.977996460093,-37.8121282213619
"869","7",84.7730796335448,133.819481726135,144.977982233086,-37.812224713188
"528","1",32.8767932489451,70.0218744801274,144.954895326892,-37.8185680663068
"528","2",18.8907948779899,51.4989961266282,144.956043301218,-37.818316806698
"528","3",27.3142262580401,70.7299193351387,144.954516322046,-37.8186515819474
"528","4",31.2249699879952,72.5111873231489,144.953883727933,-37.8188274805742
"528","5",19.4340826686004,51.7842786557267,144.955347892841,-37.8184806039806
"528","6",22.7672868217054,56.855879665095,144.955784394998,-37.8183362893019
"528","7",26.1545778834721,67.2107226001723,144.954634906717,-37.8186261492769
"655","1",51.975,89.2355386399183,144.96506082902,-37.798411077805
"655","2",55.8311827956989,94.1325274213365,144.96499683174,-37.7984089892782
"655","3",70.1707317073171,112.307954296901,144.965044280009,-37.7984187823944
"655","4",59.8829858776059,96.0407104388729,144.965046903789,-37.7984183926598
"655","5",56.0283775447255,96.4714142226551,144.965049087437,-37.79841295836
"655","6",58.8458149779736,102.863189644289,144.965015963582,-37.7984111927878
"655","7",58.622125543816,99.8095021733212,144.965034306629,-37.798410674951
"1218","1",104.849498327759,121.602667803225,144.958219968201,-37.7960802716759
"1218","2",83.2836257309941,115.892020330385,144.95823227901,-37.7959798923672
"1218","3",129.623853211009,160.963980492293,144.958195257295,-37.7962807712051
"1218","4",119.317351598174,157.878620411065,144.958199323728,-37.7962481204474
"1218","5",89.6489726027397,120.338751704897,144.958188701755,-37.7963367550251
"1218","6",89.3788343558282,121.968036330002,144.958201361943,-37.7962314852622
"1218","7",128.153846153846,177.653317464799,144.958221277067,-37.7960691663176
"839","1",58.4369114877589,100.354509694898,144.952979404715,-37.8110059592431
"839","2",65.8739669421488,112.299301650119,144.953228257294,-37.8114595506834
"839","3",60.975074775673,107.934862337679,144.953145160604,-37.8112996881748
"839","4",68.6065057712487,129.896368841869,144.953250043474,-37.8114288603524
"839","5",28.3556126820908,75.2309398915277,144.953253573631,-37.811363220011
"839","6",49.5326331582896,94.6074465451055,144.953352709918,-37.8115886510641
"839","7",54.3581436077058,116.920606182573,144.953258469413,-37.8114142298881
"1102","1",96.4342723004695,123.619707734215,144.967295557216,-37.8028880066166
"1102","2",78.9562841530055,109.550033155036,144.967247223693,-37.8028844760042
"1102","3",79.6028659160696,108.981884454799,144.967257328184,-37.8028845139559
"1102","4",86.5022935779816,131.951179067072,144.967237679444,-37.8028815401483
"1102","5",68.3945278022948,98.6089854906669,144.967244150118,-37.802882172544
"1102","6",66.3614663256607,96.8580500454088,144.967267828842,-37.8028835672289
