"departure_days_cat","avg_duration","std_duration","n"
"1",89.5375599926773,114.84266379281,81
"2",79.6495914793352,107.261792784831,81
"3",85.4555777289329,129.356437976741,81
"4",80.9218543706648,124.780405084376,81
"5",65.8040236243167,100.066715918208,81
"6",70.1332789083782,103.814981557156,81
"7",81.3339971302652,128.802963218413,81
