"BayId","avg_duration","std_duration","lat","lon"
"1005",26.0742496050553,54.4330315278418,-37.8131043769357,144.962531104303
"1006",20.4476309226933,41.7320131849382,-37.8130533797872,144.962507709394
"1007",18.723595505618,35.2209801166312,-37.8128536919076,144.962623755306
"1009",36.5744680851064,62.8226157743987,-37.8128035892878,144.962600742461
"1011",20.6010165184244,43.704634337546,-37.8120766318591,144.962057056617
"1012",25.5861386138614,48.2197454897866,-37.812020796448,144.962031203988
"1013",21.99375,40.164411231555,-37.8119649557778,144.962005388593
"1015",44.906432748538,58.3990972755912,-37.8116809432104,144.962083788146
"1019",31.4926829268293,58.534558744014,-37.8153745083852,144.960998145823
"1023",22.3803191489362,41.9934879981671,-37.8137775045534,144.960010172197
"1024",24.7041499330656,48.7559388990637,-37.8135674504834,144.959913782508
"1025",21.1373626373626,42.0696066901631,-37.8134961452022,144.959881800301
"1026",18.9831387808042,40.3529361458346,-37.8133691216332,144.96007932477
"1027",19.0310262529833,31.8598557777045,-37.8133195812316,144.96005673277
"1031",67.008,102.103498636114,-37.8127365481488,144.959537312236
"1032",39.5975,68.8004669634296,-37.8126861060777,144.959514704622
"1033",41.2330097087379,72.4154953620783,-37.812635167376,144.959491889239
"1034",43.5032467532468,75.5799509106236,-37.8125842295711,144.959469073897
"1035",39.5152941176471,74.0809754336339,-37.8125349379205,144.95944699591
"1036",42.8759305210918,70.3784686326702,-37.8124708175534,144.959417133433
"1037",42.6019900497512,74.4713424339197,-37.8124215899488,144.959395002953
"1038",29.8817829457364,55.9934078775973,-37.8123728227352,144.959373049748
"1039",27.859477124183,51.8540365333289,-37.8122279003903,144.95955850623
"1040",36.8372093023256,69.7173214197646,-37.8121817506706,144.959537404538
"1041",39.0024752475247,95.1262840618525,-37.8121340715992,144.959515600188
"1096",36.7915742793792,62.2342957965615,-37.8162014901671,144.961250973546
"1097",37.3835920177384,61.0774851876411,-37.8161807581575,144.961241420692
"1099",37.640522875817,69.5121755266723,-37.8161092688473,144.961208296182
"1100",39.0411899313501,81.005624147555,-37.8160876901926,144.961198353693
"1101",43.0922693266833,75.3086579689698,-37.8146149569176,144.960522481583
"1105",36.7647058823529,64.0471611059145,-37.8145218292458,144.960479639741
"1106",43.0409836065574,74.5612258344374,-37.8144719850795,144.960456816912
"1107",36.6449704142012,66.8953535710542,-37.8144495580899,144.960446496113
"1108",38.9581395348837,67.2481964214545,-37.8144254373608,144.960435396051
"1112",37.1670378619154,63.0510081232484,-37.8143056660763,144.960380137356
"1113",37.4677419354839,74.7337390438305,-37.8142828707108,144.960369596328
"1114",43.1964735516373,70.300413721051,-37.8142600203971,144.960359106213
"1115",17.0706586826347,44.095232007289,-37.8142137673482,144.960337997682
"1117",40.7478991596639,65.6221588132823,-37.8138462216101,144.960169372371
"1119",41.0693069306931,70.294701511285,-37.8138009170552,144.960148809871
"1120",41.2475247524753,65.2186862870171,-37.8137771741431,144.960138062552
"1121",36.2264150943396,59.4614552699283,-37.813753492532,144.960127281085
"1122",44.9448621553885,74.8706889761096,-37.8137057156278,144.960105545784
"1123",41.661800486618,78.2708554030862,-37.813683470397,144.960095465018
"1125",35.8953974895397,66.8979129304781,-37.813636410896,144.960074152937
"1126",40.2146226415094,76.208769333073,-37.8136122242142,144.960063136134
"1127",40.6375,75.6063283460116,-37.8135644886558,144.960041652533
"1128",34.5957446808511,65.4627345593155,-37.8135437102889,144.960032184467
"1132",38.7364864864865,59.9782855041736,-37.8134279750793,144.959979781095
"1133",31.5735607675906,55.371409361574,-37.8134038088258,144.959968839335
"1137",41.3432098765432,60.2146592013979,-37.8125799817015,144.959591767516
"1138",40.987684729064,71.115884187445,-37.8125566824607,144.95958114405
"1139",45.1391076115486,75.9355617976014,-37.8125088885807,144.959559351904
"1140",46.08,79.741990361026,-37.8124851660385,144.959548535658
"1141",48.8753623188406,82.4725401900908,-37.8124614435053,144.959537718852
"1142",50.6375404530744,85.7877818876541,-37.8124389172677,144.959527447297
"1143",44.9317585301837,80.0080296253508,-37.8124168147591,144.959517369683
"1144",48.6909620991254,92.9114720754316,-37.8123665533437,144.959494452828
"1145",45.6,71.5661626344342,-37.8123432545454,144.95948382942
"1146",47.6867816091954,84.0486146408226,-37.8123199557463,144.959473206019
"1147",48.1914285714286,68.9885205825242,-37.8122966565059,144.959462582624
"1148",50.2332361516035,76.5608602673508,-37.8122740661467,144.959452356636
"1149",45.5275362318841,74.2370493835769,-37.8122253922501,144.959430044749
"1150",46.700272479564,69.8416442614977,-37.8122021900593,144.959419510162
"1151",46.0121580547112,68.4483950035376,-37.8121784675056,144.959408694002
"1152",49.1240310077519,72.6632344858427,-37.8121545203069,144.959397758235
"1153",58.3861003861004,79.3106782345284,-37.8118895549548,144.959278822429
"1154",54.6048951048951,78.3456657663647,-37.8118659300539,144.959267965782
"1155",53.6645962732919,83.0245952448344,-37.8118424259647,144.959257223214
"1156",50.0548780487805,78.1707339472813,-37.8118182864606,144.959246191453
"1157",61.4856115107914,92.626602646625,-37.811769756079,144.959223972427
"1158",55.0314685314685,88.2806274428059,-37.8117475223443,144.959213810579
"1159",52.2054380664653,81.8269798844152,-37.8117246531949,144.959203359526
"1160",49.811320754717,74.0264399701478,-37.8117009370053,144.959192520606
"1161",48.5520231213873,75.9220340663017,-37.8116774038401,144.959181765253
"1162",53.5238095238095,92.4860218639464,-37.8116274450379,144.959158972251
"1163",61.2313167259787,104.875878413022,-37.8116047879989,144.959148617634
"1265",44.6335227272727,83.0905476028733,-37.8139378325928,144.954474627513
